Mã,Loại,Điểm,Giá,RSI,Volume Ratio,Stop-loss,Target 1,R/R,P/E,ROE,EPS Growth,D/E
GEG,SWING,70,28148.89801504527,37.54453237439333,1.5756955742118237,26660.418787674567,31645.29150233453,2.3489702933009027,,,,
TCM,SWING,70,33268.34274971884,38.27045343595941,1.7119391991492758,32351.227103309688,37770.70710936667,4.909265671430054,,,,
BMS,SWING,65,125415.70958904647,13.046322601729244,1.5917512594248469,121181.91805958115,151826.4253337422,6.238076570584261,,,,
MBB,SWING,60,69439.32301337256,85.46989759901072,1.8600446159812392,54742.52985597166,70572.04913263809,0.07707301226425155,,,,
HAC,SWING,60,95455.16269363322,38.3280729929069,1.576747837773154,92519.8392149884,106596.6490474466,3.795658786798243,,,,
TMP,SWING,60,27826.749988474465,32.21272588741009,1.5286369050832735,26427.812633281894,31064.356764595424,2.3143329214161175,,,,
HNG,SWING,55,58320.363344409816,28.661289169316433,1.6109908395647299,54502.26462335616,69286.36438862169,2.872110399802774,,,,
LAS,SWING,55,61480.35910321667,27.0848828579022,1.8456069525411516,59597.421145952416,70335.16981738411,4.702656654196243,,,,
NVB,SWING,55,65968.22710980319,23.49036833675825,2.0434236739961684,62699.47628637226,83626.47747985541,5.402140243751535,,,,
VGS,SWING,55,113077.35586771599,58.801995868924074,0.8303148102944111,97765.39596059782,113375.48199461223,0.01947014808715956,,,,
DDV,SWING,55,22657.57782539683,28.79814238887124,1.6477693307761974,21937.036586312155,26478.661154284422,5.303073747370271,,,,
DAH,SWING,55,61309.33666212438,21.78012767449586,1.5605088995886258,58168.31419112891,70331.1952510505,2.8722680822041022,,,,
HDG,SWING,55,26301.911540009773,17.03936522194357,1.952613638247645,24939.64390314426,30494.91215407177,3.0779565634472656,,,,
VCI,SWING,55,94744.64359641344,19.999312165699536,1.5588269034051565,90679.58620802639,110307.45939753437,3.8284369233212714,,,,
NT2,SWING,55,15346.08614901284,13.538605122809486,1.6500652285059805,14645.598792380446,20047.703381742154,6.711923046452145,,,,
