Mã,Loại,Điểm,Giá,RSI,Volume Ratio,Stop-loss,Target 1,R/R,P/E,ROE,EPS Growth,D/E
MSH,SWING,70,71512.98862775725,68.60767504551566,1.837797362602697,63175.612278570305,72107.88231185697,0.07135262451691207,,,,
CIG,SWING,70,88198.24161171669,30.948263318688973,1.7318385961186953,83680.76496256738,99441.7522769963,2.4888918169387537,,,,
VAB,SWING,70,106105.94009839624,48.4085693466897,1.912380561288502,98885.00653849619,111196.61547980351,0.7049885363406858,,,,
BVB,SWING,70,179305.05204565768,40.46558851092449,1.8590410351828173,172831.1065051917,197251.8911475582,2.7721640520023256,,,,
CMG,SWING,65,42693.66875036766,23.848702256123985,1.747030481576906,40043.82791039,49894.22226871064,2.717353212204129,,,,
HAC,SWING,65,116299.6531775203,28.768573418191934,1.7711421213791338,112414.16837953216,130643.099154087,3.691546028952051,,,,
SJS,SWING,60,53090.30870888006,30.24547591917559,1.7558642508573945,51742.98418207338,59876.2264993414,5.036587440848244,,,,
KDH,SWING,60,81771.29334877605,34.103110041092265,2.2994351383141893,76754.46335044768,92366.20533612801,2.1118738308617693,,,,
BMI,SWING,60,56074.42496510375,37.01290498093428,1.6726811000579347,52219.0210855036,63865.334717604615,2.0207765504735806,,,,
TSC,SWING,60,71804.21708329837,36.04409043892516,1.58354807895952,68144.58168695756,82274.89175483261,2.8611250951402605,,,,
OCB,SWING,55,101363.4232162912,15.303725867391194,1.7926942992805615,97813.25848868543,129367.15539179143,7.888009240175735,,,,
GEX,SWING,55,70110.58663384807,53.63042786798457,1.5028434464202647,65759.13909125197,74920.48501600449,1.1053559384716387,,,,
CSV,SWING,55,67432.89544097464,24.380433544323836,1.527731331440859,63361.82885143599,79673.48788867892,3.006728624670186,,,,
ONE,SWING,55,53288.02202345405,19.29696392934902,1.6602139378539607,51759.74231569475,66322.26080774362,8.528699764914002,,,,
MVN,SWING,55,96885.11438503838,24.505837327665176,1.593514959351556,91281.52313284525,115006.25953640522,3.233844928334949,,,,
APG,SWING,55,57617.18532639531,21.843894668663822,1.7143073512566924,55249.30285891901,67990.95715489514,4.381033252700346,,,,
DAH,SWING,55,126670.0424344596,61.7560569778861,0.8529934301891474,107357.73393160776,127262.45313753582,0.03067529202885006,,,,
PLX,SWING,55,79102.39480443233,59.27291191344247,0.6981161763128968,68219.87961353885,79570.14476218018,0.04298178771569824,,,,
SHS,SWING,55,41956.98801965084,16.80830690472841,1.6735518409900367,40079.1068171184,55237.61635544925,7.072134444867268,,,,
SGT,SWING,50,77571.61614991157,77.0541380430193,1.6079796117420073,66643.18465026624,80469.85215235162,0.265201461210066,,,,
HMC,SWING,50,83340.89606393228,45.269126733560064,1.7602928121898862,75243.23517383315,87956.1232141444,0.5699457180103813,,,,
JVC,SWING,50,81056.72473858325,82.35684687985672,1.5734263227104666,65807.4165035012,82220.96894175929,0.07634734541581516,,,,
HQC,SWING,50,179466.98734849002,50.358688563043515,1.8878499714655876,156141.94019391848,185867.56589540272,0.2744079574415023,,,,
NAB,SWING,50,132577.08657956801,64.1449183166184,1.5593473540288945,115543.39288257399,135103.306467091,0.14830722757265427,,,,
ABT,SWING,50,75343.17665115917,65.18667069790405,1.5328521218031557,65103.591796509216,76432.65245166192,0.10639843469904019,,,,
CHP,SWING,50,120457.7531874533,60.8207214059981,1.955880872717933,101543.76589938601,123100.45759136719,0.13972222586726332,,,,
GVR,SWING,50,148607.0891118255,56.38162396857408,1.5204280130513543,136536.16770990886,151244.21951657138,0.21846968569666417,,,,
NT2,SWING,50,120776.78652063891,53.91353844447477,1.6203476495434581,108501.73972336913,124070.2015670932,0.2683016285678693,,,,
TMP,SWING,50,38437.34019292332,66.36451813456142,1.501441575431856,33475.3141564417,39972.96009876309,0.30947437489236096,,,,
CII,SWING,50,58622.955082847984,51.16030975326838,1.931888648859611,52380.05079871933,59761.79591682673,0.18242163937608746,,,,
ELC,SWING,50,165337.31065394636,60.48869644029949,1.5347286985507362,142796.71941020203,170908.56216784212,0.24716527857014117,,,,
KDC,LONG_TERM,100,87990.14207899134,,,,,,19.026661785781364,15.907831790487009,28.427748450130174,1.0902495312287157
HCM,LONG_TERM,100,124398.77018878832,,,,,,22.069589861490833,16.47453326444254,24.923948748838903,1.447808102026546
MWG,LONG_TERM,100,127551.41731765111,,,,,,12.968150807691458,23.122062232571892,10.076641859124056,1.3784864054319859
PME,LONG_TERM,100,69136.98155506914,,,,,,20.578186509529022,24.70017381216075,23.242005496337285,0.668518132182286
TAC,LONG_TERM,100,77541.88743416978,,,,,,9.480023795526035,22.93982055654945,14.473338870947554,0.4008305368161075
LCG,LONG_TERM,100,66709.00824535366,,,,,,12.63902252189583,24.116521749263534,25.513171198829568,0.7918566433217404
VGI,LONG_TERM,100,57125.09926859347,,,,,,13.094075369877578,24.388180653554244,22.831375064965904,1.0584646483044347
HQC,LONG_TERM,100,179466.98734849002,,,,,,11.320547572495077,15.399764389406815,13.474774195857577,1.2416196728342515
TVS,LONG_TERM,100,24692.872170992636,,,,,,22.772073597290266,24.31718901896556,21.364665874556003,1.4408673989043634
SBT,LONG_TERM,100,76710.4727943038,,,,,,24.299913574778323,21.591627138475236,17.897598817478038,0.21441329507046158
HVN,LONG_TERM,100,67035.38180587406,,,,,,12.011101147544641,19.75117182786907,16.136208250564863,1.405556911496587
BSI,LONG_TERM,100,92190.27029408465,,,,,,10.30046485580098,18.80589553350299,11.58571633135448,0.8113512600923483
HRC,LONG_TERM,100,72591.52332114574,,,,,,24.162444844231512,19.144004533346433,19.37625937619934,0.3182007286947104
CHP,LONG_TERM,100,120457.7531874533,,,,,,17.714464398703775,22.49072180125735,11.647651161390911,1.4468461453058683
AMV,LONG_TERM,100,23090.330408544076,,,,,,10.382724003547208,20.899533204709247,16.428603833691128,1.379794246082762
PLT,LONG_TERM,100,45702.80732926425,,,,,,21.33440761608167,20.969423978678886,20.65560960744464,0.34251778223112705
VMD,LONG_TERM,100,114168.40972343665,,,,,,9.144687348576745,17.881601229739218,23.95492767354356,0.9007005154045302
GIL,LONG_TERM,100,41629.95256852242,,,,,,23.94975618879113,23.913396758684367,18.945192999755452,0.3514474396485373
SZC,LONG_TERM,100,98535.2456510766,,,,,,13.629346496229035,18.40317048128484,21.192208729343854,0.9223374943757416
POW,LONG_TERM,100,55456.50802717816,,,,,,9.062511112705373,15.285974410691644,23.86700270216086,1.4317980827091419
BMI,LONG_TERM,100,56074.42496510375,,,,,,18.77567973729826,24.969360091554883,27.826002594511223,0.667476283303824
HDG,LONG_TERM,100,70117.75553753761,,,,,,8.053180176242376,22.401503006666132,15.046333811115336,0.5478575265768355
